! [  1] WCX=-8.635627e-03
!! [  1] WCX=-5.449320e+00
!!! [  1] WCX=-5.449320e+00
" [  1] WIQ=-3.650989e-01
103/110 [  1] MCSX=-9.675143e+00
104 [  1] MCSX=-7.883384e+00
104. [  1] MOSX=-6.766422e+00
105 [  1] MCSX=-7.729233e+00
105. [  1] MOSX=-6.989566e+00
10500 [  1] MCSX=-9.675143e+00
106 [  1] MCSX=-8.576530e+00
106. [  1] MOSX=-6.989566e+00
10600 [  1] MCSX=-9.675143e+00
107 [  1] MCSX=-7.729233e+00
107-1. [  1] MOSX=-8.375860e+00
107. [  1] MOSX=-6.989566e+00
107000 [  1] MCSX=-9.675143e+00
1077 [  1] MCSX=-9.675143e+00
108 [  1] MCSX=-9.675143e+00
108. [  1] MOSX=-6.989566e+00
108/109 [  1] MCSX=-9.675143e+00
10800 [  1] MCSX=-9.675143e+00
109 [  1] MCSX=-8.576530e+00
109. [  1] MOSX=-6.989566e+00
10X [  1] YSX=-8.586346e+00
10ac [  1] YSX=-8.586346e+00
10ndat [  1] MOS1=-4.787492e+00
10st [  1] MCSA=-5.686975e+00
10°C [  1] YSX=-8.586346e+00
11 [  1] MCSX=-5.232492e+00
11% [  1] MCSX=-8.981996e+00
11,7% [  1] MCSX=-9.675143e+00
11-1 [  1] MCSX=-8.981996e+00
11-12 [  1] MCSX=-9.675143e+00
11-14 [  1] MCSX=-8.288849e+00
11-18 [  1] MCSX=-7.190237e+00
11-19. [  1] MOSX=-8.375860e+00
11-aastane [  1] ASN=-9.564583e+00
11. [  1] MOSX=-4.298323e+00
11.00 [  1] MCSX=-9.675143e+00
11.05 [  1] MCSX=-9.675143e+00
11.06.2001 [  1] MCSX=-7.729233e+00
11.07.96 [  1] MCSX=-8.981996e+00
11.15 [  1] MCSX=-8.288849e+00
11.30 [  1] MCSX=-8.981996e+00
11.40 [  1] MCSX=-9.675143e+00
11.45 [  1] MCSX=-9.675143e+00
11.48. [  1] MCSX=-9.675143e+00
11.52. [  1] MCSX=-9.675143e+00
11/1997 [  1] MCSX=-9.675143e+00
110 [  1] MCSX=-7.477919e+00
110. [  1] MOSX=-6.766422e+00
11000 [  1] MCSX=-8.981996e+00
111 [  1] MCSX=-7.036086e+00
111-116 [  1] MCSX=-9.675143e+00
111. [  1] MOSX=-6.766422e+00
1115-1077 [  1] MCSX=-9.675143e+00
112 [  1] MCSX=-6.902555e+00
112-120 [  1] MCSX=-9.675143e+00
112. [  1] MOSX=-6.989566e+00
1126-1105 [  1] MCSX=-9.675143e+00
113 [  1] MCSX=-7.729233e+00
113. [  1] MOSX=-7.277248e+00
113/114 [  1] MCSX=-9.675143e+00
114 [  1] MCSX=-9.675143e+00
114. [  1] MOSX=-6.989566e+00
1140 [  1] MCSX=-9.675143e+00
1142 [  1] MCSX=-9.675143e+00
115 [  1] MCSX=-7.372558e+00
115. [  1] MOSX=-6.989566e+00
1150 [  1] MCSX=-9.675143e+00
115000 [  1] MCSX=-9.675143e+00
115335 [  1] MCSX=-9.675143e+00
1154. [  1] MOSX=-8.375860e+00
1159 [  1] MCSX=-9.675143e+00
116 [  1] MCSX=-8.065705e+00
116-143 [  1] MCSX=-9.675143e+00
116. [  1] MOSX=-6.989566e+00
116000 [  1] MCSX=-9.675143e+00
117 [  1] MCSX=-7.595702e+00
117. [  1] MOSX=-6.989566e+00
118 [  1] MCSX=-8.576530e+00
118. [  1] MOSX=-6.989566e+00
1184 [  1] MCSX=-9.675143e+00
119 [  1] MCSX=-7.372558e+00
119. [  1] MOSX=-6.989566e+00
1194 [  1] MCSX=-9.675143e+00
1198 [  1] MCSX=-8.981996e+00
1199 [  1] MCSX=-9.675143e+00
11liikmelisest [  1] ASA=-8.591929e+00
12 [  1] MCSX=-5.153355e+00
12%ni [  1] YS=-3.737670e+00
12,5% [  1] MCSX=-9.675143e+00
12,52 [  1] MCSX=-9.675143e+00
12,9% [  1] MCSX=-9.675143e+00
12-01 [  1] MCSX=-9.675143e+00
12-03 [  1] MCSX=-9.675143e+00
12-13 [  1] MCSX=-9.675143e+00
12-13% [  1] MCSX=-9.675143e+00
12-14 [  1] MCSX=-8.981996e+00
12-15 [  1] MCSX=-8.981996e+00
12-17 [  1] MCSX=-9.675143e+00
12-18 [  2] MCSX=-8.981996e+00 MOSX=-8.375860e+00
12-19 [  2] MCSX=-9.675143e+00 MOSX=-8.375860e+00
12-22 [  1] MCSX=-9.675143e+00
12-24 [  1] MCSX=-9.675143e+00
12-53 [  1] MCSX=-9.675143e+00
12-aastane [  1] ASN=-8.465970e+00
12-aastastele [  1] ASA=-8.591929e+00
12. [  1] MOSX=-4.712298e+00
12.-14. [  1] MOSX=-8.375860e+00
12.00 [  1] MCSX=-8.065705e+00
12.03.93 [  1] MCSX=-8.065705e+00
12.03.97 [  1] MCSX=-7.110194e+00
12.06.96 [  1] MCSX=-8.981996e+00
12.10 [  1] MCSX=-8.981996e+00
12.12.2000 [  1] MCSX=-8.981996e+00
12.15 [  1] MCSX=-9.675143e+00
12.20 [  1] MCSX=-9.675143e+00
12.30 [  1] MCSX=-9.675143e+00
12.35 [  1] MCSX=-8.981996e+00
12.39 [  1] MCSX=-9.675143e+00
12.40 [  1] MCSX=-8.981996e+00
12.50 [  1] MCSX=-9.675143e+00
120 [  1] MCSX=-7.477919e+00
120-125 [  1] MCSX=-9.675143e+00
120-130 [  1] MCSX=-9.675143e+00
120-ruutmeetrisel [  1] ASA=-8.591929e+00
120. [  1] MOSX=-6.766422e+00
1200 [  1] MCSX=-8.065705e+00
12000 [  1] MCSX=-7.883384e+00
12000-14000 [  1] MCSX=-9.675143e+00
1201 [  1] MCSX=-9.675143e+00
1202 [  1] MCSX=-9.675143e+00
121 [  1] MCSX=-8.981996e+00
121. [  1] MOSX=-6.989566e+00
122 [  1] MCSX=-9.675143e+00
122. [  1] MOSX=-6.989566e+00
1224. [  1] MOSX=-8.375860e+00
1228. [  1] MOSX=-8.375860e+00
123 [  1] MCSX=-8.981996e+00
123. [  1] MOSX=-6.989566e+00
1230. [  1] MOSX=-8.375860e+00
124 [  1] MCSX=-8.288849e+00
124. [  1] MOSX=-6.989566e+00
125 [  1] MCSX=-6.584101e+00
125. [  1] MOSX=-6.989566e+00
1250. [  1] MOSX=-8.375860e+00
1256. [  1] MOSX=-8.375860e+00
126 [  1] MCSX=-9.675143e+00
126. [  1] MOSX=-6.989566e+00
1263 [  1] MCSX=-9.675143e+00
1266 [  1] MCSX=-9.675143e+00
127 [  1] MCSX=-8.576530e+00
127,8 [  1] MCSX=-9.675143e+00
127. [  1] MOSX=-7.277248e+00
127.2 [  1] MCSX=-9.675143e+00
128 [  1] MCSX=-7.883384e+00
128-133 [  1] MCSX=-9.675143e+00
128-136 [  1] MCSX=-9.675143e+00
128. [  1] MOSX=-7.277248e+00
1285 [  1] MCSX=-9.675143e+00
129 [  1] MCSX=-8.065705e+00
129. [  1] MOSX=-6.989566e+00
1294 [  1] MCSX=-9.675143e+00
12aastased [  1] ASN=-9.564583e+00
12aastaselt [  1] RR=-1.030622e+01
12x8 [  1] YSX=-8.586346e+00
13 [  1] MCSX=-5.331337e+00
13,4% [  1] MCSX=-9.675143e+00
13- [  1] MCSX=-9.675143e+00
13-1. [  1] MOSX=-7.682713e+00
13-14 [  1] MCSX=-9.675143e+00
13-18-aastane [  1] ASN=-8.871435e+00
13-aastane [  1] ASN=-8.871435e+00
13. [  1] MOSX=-4.820512e+00
13.-14. [  1] MOSX=-8.375860e+00
13.-17. [  1] MOSX=-8.375860e+00
